GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006412,translation,352,111,51.56,1.1e-27,0
GO:0090502,RNA phosphodiester bond hydrolysis; endonucleolytic,41,21,6,2.3e-08,1e-04
GO:0042274,ribosomal small subunit biogenesis,24,12,3.52,3.0e-08,1e-04
GO:0015074,DNA integration,33,17,4.83,6.6e-07,0.0019
GO:0002181,cytoplasmic translation,42,15,6.15,8.1e-07,0.0019
GO:0006278,RNA-dependent DNA biosynthetic process,79,23,11.57,9.4e-07,0.0019
GO:0006310,DNA recombination,160,27,23.43,1.5e-05,0.0255
GO:0075713,establishment of integrated proviral latency,20,11,2.93,3.0e-05,0.0397
GO:0044826,viral genome integration into host DNA,20,11,2.93,3.0e-05,0.0397
GO:0046718,viral entry into host cell,51,17,7.47,5.0e-05,0.0595
GO:0006281,DNA repair,244,36,35.74,0.00024,0.2472
GO:0032508,DNA duplex unwinding,37,13,5.42,0.00025,0.2472
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,8,2.05,0.00027,0.2472
GO:0050790,regulation of catalytic activity,669,80,97.98,0.00032,0.272
GO:0006508,proteolysis,739,88,108.24,0.00233,1
GO:1904667,negative regulation of ubiquitin protein ligase activity,8,5,1.17,0.00254,1
GO:0006364,rRNA processing,84,19,12.3,0.00265,1
GO:0007186,G protein-coupled receptor signaling pathway,222,46,32.51,0.00290,1
GO:0060059,embryonic retina morphogenesis in camera-type eye,3,3,0.44,0.00313,1
GO:0050917,sensory perception of umami taste,3,3,0.44,0.00313,1
GO:0097112,gamma-aminobutyric acid receptor clustering,3,3,0.44,0.00313,1
GO:0090179,planar cell polarity pathway involved in neural tube closure,3,3,0.44,0.00313,1
GO:0031929,TOR signaling,72,12,10.55,0.00539,1
GO:0035176,social behavior,13,6,1.9,0.00663,1
GO:0016310,phosphorylation,843,120,123.47,0.00953,1
GO:0007601,visual perception,26,10,3.81,0.00968,1
GO:0010842,retina layer formation,4,3,0.59,0.01116,1
GO:0098719,sodium ion import across plasma membrane,4,3,0.59,0.01116,1
GO:0090103,cochlea morphogenesis,4,3,0.59,0.01116,1
GO:0071539,protein localization to centrosome,22,8,3.22,0.01484,1
GO:0006897,endocytosis,182,21,26.66,0.01524,1
GO:0016032,viral process,172,29,25.19,0.01952,1
GO:2000059,negative regulation of ubiquitin-dependent protein catabolic process,31,7,4.54,0.01961,1
GO:1902473,regulation of protein localization to synapse,6,3,0.88,0.02142,1
GO:0048016,inositol phosphate-mediated signaling,22,5,3.22,0.02143,1
GO:0036335,intestinal stem cell homeostasis,2,2,0.29,0.02143,1
GO:0021794,thalamus development,2,2,0.29,0.02143,1
GO:0001827,inner cell mass cell fate commitment,2,2,0.29,0.02143,1
GO:0001828,inner cell mass cellular morphogenesis,2,2,0.29,0.02143,1
GO:0060022,hard palate development,2,2,0.29,0.02143,1
GO:0007021,tubulin complex assembly,2,2,0.29,0.02143,1
GO:0032458,slow endocytic recycling,2,2,0.29,0.02143,1
GO:0033693,neurofilament bundle assembly,2,2,0.29,0.02143,1
GO:2001311,lysobisphosphatidic acid metabolic process,2,2,0.29,0.02143,1
GO:0060374,mast cell differentiation,2,2,0.29,0.02143,1
GO:0008594,photoreceptor cell morphogenesis,2,2,0.29,0.02143,1
GO:0120197,mucociliary clearance,2,2,0.29,0.02143,1
GO:0060134,prepulse inhibition,2,2,0.29,0.02143,1
GO:0120222,regulation of blastocyst development,2,2,0.29,0.02143,1
GO:0052651,monoacylglycerol catabolic process,2,2,0.29,0.02143,1
